Total Canvases Found: 9
==================================================
ROOT: Canvas_a5_Quest
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_8/QuestInfo/QTP108_ProgressBar | MIN:(0.00, 0.00) | MAX:(1.00, 0.00) | PIVOT:(0.50, 0.00) | POS:(0.00, 5.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_8/QuestInfo/QTP108_ProgressBar/ProgressBar_Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_8/QuestInfo/QTP108_ProgressBar/ProgressBar_Background/ProgressBar_Fill | MIN:(0.00, 0.00) | MAX:(0.00, 1.00) | PIVOT:(0.00, 0.50) | POS:(0.00, 0.00) | SIZE:(100.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_8/QuestInfo/QTP108_ProgressBar/ProgressBar_Background/ProgressText | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_8/QOK108_ClaimBtn | MIN:(1.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(1.00, 0.50) | POS:(-65.00, 0.00) | SIZE:(90.00, 90.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_8/QOK108_ClaimBtn/Text | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7 | MIN:(0.00, 1.00) | MAX:(0.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(450.00, -286.00) | SIZE:(900.00, 100.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/AD617_Icon | MIN:(0.00, 0.50) | MAX:(0.00, 0.50) | PIVOT:(0.00, 0.50) | POS:(20.00, 0.00) | SIZE:(80.00, 80.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/QuestInfo | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(-220.00, -20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/QuestInfo/QT107_Title | MIN:(0.00, 1.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 1.00) | POS:(0.00, -5.00) | SIZE:(0.00, 30.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/QuestInfo/QT107_Desc | MIN:(0.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/QuestInfo/QTP107_ProgressBar | MIN:(0.00, 0.00) | MAX:(1.00, 0.00) | PIVOT:(0.50, 0.00) | POS:(0.00, 5.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/QuestInfo/QTP107_ProgressBar/ProgressBar_Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/QuestInfo/QTP107_ProgressBar/ProgressBar_Background/ProgressBar_Fill | MIN:(0.00, 0.00) | MAX:(0.00, 1.00) | PIVOT:(0.00, 0.50) | POS:(0.00, 0.00) | SIZE:(100.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/QuestInfo/QTP107_ProgressBar/ProgressBar_Background/ProgressText | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/QOK107_ClaimBtn | MIN:(1.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(1.00, 0.50) | POS:(-65.00, 0.00) | SIZE:(90.00, 90.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_7/QOK107_ClaimBtn/Text | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6 | MIN:(0.00, 1.00) | MAX:(0.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(450.00, -394.00) | SIZE:(900.00, 100.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/AD616_Icon | MIN:(0.00, 0.50) | MAX:(0.00, 0.50) | PIVOT:(0.00, 0.50) | POS:(20.00, 0.00) | SIZE:(80.00, 80.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/QuestInfo | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(-220.00, -20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/QuestInfo/QT106_Title | MIN:(0.00, 1.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 1.00) | POS:(0.00, -5.00) | SIZE:(0.00, 30.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/QuestInfo/QT106_Desc | MIN:(0.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/QuestInfo/QTP106_ProgressBar | MIN:(0.00, 0.00) | MAX:(1.00, 0.00) | PIVOT:(0.50, 0.00) | POS:(0.00, 5.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/QuestInfo/QTP106_ProgressBar/ProgressBar_Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/QuestInfo/QTP106_ProgressBar/ProgressBar_Background/ProgressBar_Fill | MIN:(0.00, 0.00) | MAX:(0.00, 1.00) | PIVOT:(0.00, 0.50) | POS:(0.00, 0.00) | SIZE:(100.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/QuestInfo/QTP106_ProgressBar/ProgressBar_Background/ProgressText | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/QOK106_ClaimBtn | MIN:(1.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(1.00, 0.50) | POS:(-65.00, 0.00) | SIZE:(90.00, 90.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_6/QOK106_ClaimBtn/Text | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5 | MIN:(0.00, 1.00) | MAX:(0.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(450.00, -502.00) | SIZE:(900.00, 100.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/AD615_Icon | MIN:(0.00, 0.50) | MAX:(0.00, 0.50) | PIVOT:(0.00, 0.50) | POS:(20.00, 0.00) | SIZE:(80.00, 80.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/QuestInfo | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(-220.00, -20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/QuestInfo/QT105_Title | MIN:(0.00, 1.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 1.00) | POS:(0.00, -5.00) | SIZE:(0.00, 30.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/QuestInfo/QT105_Desc | MIN:(0.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/QuestInfo/QTP105_ProgressBar | MIN:(0.00, 0.00) | MAX:(1.00, 0.00) | PIVOT:(0.50, 0.00) | POS:(0.00, 5.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/QuestInfo/QTP105_ProgressBar/ProgressBar_Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/QuestInfo/QTP105_ProgressBar/ProgressBar_Background/ProgressBar_Fill | MIN:(0.00, 0.00) | MAX:(0.00, 1.00) | PIVOT:(0.00, 0.50) | POS:(0.00, 0.00) | SIZE:(100.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/QuestInfo/QTP105_ProgressBar/ProgressBar_Background/ProgressText | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/QOK105_ClaimBtn | MIN:(1.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(1.00, 0.50) | POS:(-65.00, 0.00) | SIZE:(90.00, 90.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_5/QOK105_ClaimBtn/Text | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4 | MIN:(0.00, 1.00) | MAX:(0.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(450.00, -610.00) | SIZE:(900.00, 100.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/AD614_Icon | MIN:(0.00, 0.50) | MAX:(0.00, 0.50) | PIVOT:(0.00, 0.50) | POS:(20.00, 0.00) | SIZE:(80.00, 80.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/QuestInfo | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(-220.00, -20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/QuestInfo/QT104_Title | MIN:(0.00, 1.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 1.00) | POS:(0.00, -5.00) | SIZE:(0.00, 30.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/QuestInfo/QT104_Desc | MIN:(0.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/QuestInfo/QTP104_ProgressBar | MIN:(0.00, 0.00) | MAX:(1.00, 0.00) | PIVOT:(0.50, 0.00) | POS:(0.00, 5.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/QuestInfo/QTP104_ProgressBar/ProgressBar_Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/QuestInfo/QTP104_ProgressBar/ProgressBar_Background/ProgressBar_Fill | MIN:(0.00, 0.00) | MAX:(0.00, 1.00) | PIVOT:(0.00, 0.50) | POS:(0.00, 0.00) | SIZE:(100.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/QuestInfo/QTP104_ProgressBar/ProgressBar_Background/ProgressText | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/QOK104_ClaimBtn | MIN:(1.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(1.00, 0.50) | POS:(-65.00, 0.00) | SIZE:(90.00, 90.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_4/QOK104_ClaimBtn/Text | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3 | MIN:(0.00, 1.00) | MAX:(0.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(450.00, -718.00) | SIZE:(900.00, 100.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/AD613_Icon | MIN:(0.00, 0.50) | MAX:(0.00, 0.50) | PIVOT:(0.00, 0.50) | POS:(20.00, 0.00) | SIZE:(80.00, 80.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/QuestInfo | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(-220.00, -20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/QuestInfo/QT103_Title | MIN:(0.00, 1.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 1.00) | POS:(0.00, -5.00) | SIZE:(0.00, 30.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/QuestInfo/QT103_Desc | MIN:(0.00, 0.50) | MAX:(1.00, 0.50) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/QuestInfo/QTP103_ProgressBar | MIN:(0.00, 0.00) | MAX:(1.00, 0.00) | PIVOT:(0.50, 0.00) | POS:(0.00, 5.00) | SIZE:(0.00, 20.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/QuestInfo/QTP103_ProgressBar/ProgressBar_Background | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/QuestInfo/QTP103_ProgressBar/ProgressBar_Background/ProgressBar_Fill | MIN:(0.00, 0.00) | MAX:(0.00, 1.00) | PIVOT:(0.00, 0.50) | POS:(0.00, 0.00) | SIZE:(100.00, 0.00)
Canvas_a5_Quest/Panel_AD601_ScrollView/Viewport/Content/Group_3/QuestInfo/QTP103_ProgressBar/ProgressBar_Background/ProgressText | MIN:(0.00, 0.00) | MAX:(1.00, 1.00) | PIVOT:(0.50, 0.50) | POS:(0.00, 0.00) | SIZE:(0.00, 0.00)
